Matricule,Age,Qualification,Secteur d'activité,Objectif,Diplome,Genre,niveau_etude,qualification_metier,secteur_metier,Filière / Spécialité,Secteur demandé,Métier visé / Qualification visée,Mobilité géographique,mobilite_norm,text_profile
PPKOU2501080016340,24,agent de transit,Transit - Transport et Logistique - Génie Logistique,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Agent Logistique,"Transport, Logistique & Supply Chain","Transport, logistique et transit",Non déclaré,Agent de transit,Non déclaré,non déclaré,"Agent de transit Agent Logistique Transport, logistique et transit Emploi agent de transit Brevet d'Études du Premier Cycle (BEPC) Secondaire 1"
PPNIA2501180017611,27,etudiant(e),Divers,Emploi,Licence,Femme,Bac +3,Etudiant,Parcours Étudiant et Formation,Banque et Finance,Finance,Etudiant(e),Non,non,Etudiant(e) Etudiant Banque et Finance Finance Emploi etudiant(e) Licence Bac +3
PPLEK2501210017791,27,vendeur/vendeuse en pharmacie.,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,CAP/BEP,Femme,Post-secondaire – Professionnel,Vente Spécialisée - Pharmacie,"Commerce, Vente, Marketing & Distribution",Vente en pharmacie,Non déclaré,vendeur/vendeuse en pharmacie.,Non déclaré,non déclaré,vendeur/vendeuse en pharmacie. Vente Spécialisée - Pharmacie Vente en pharmacie Emploi vendeur/vendeuse en pharmacie. CAP/BEP Post-secondaire – Professionnel
PPBOU2501100016705,26,assistante ressources humaines,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence,Homme,Bac +3,Assistant en Ressources Humaines,"Conseil, Stratégie & Gestion des Ressources Humaines",Gestion des Ressources Humaines,Agriculture - Agroalimentaire - Brasserie - Produits laitiers - Boulangerie,Assistante Ressources Humaines,Non,non,Assistante Ressources Humaines Assistant en Ressources Humaines Gestion des Ressources Humaines Agriculture - Agroalimentaire - Brasserie - Produits laitiers - Boulangerie Emploi assistante ressources humaines Licence Bac +3
PPBOU2501170017448,38,ingénieur mécanique,Machines et équipements / Automobile,Emploi,Master,Homme,Bac +4/+5 et plus,Ingenieur Mecanique,"Industrie, Production & Maintenance",Génie Mécanique,Non déclaré,Ingénieur Mécanique,Non déclaré,non déclaré,Ingénieur Mécanique Ingenieur Mecanique Génie Mécanique Emploi ingénieur mécanique Master Bac +4/+5 et plus
PPPNR2501180017592,28,electrotechnicien,Divers,Emploi,Licence Professionnelle,Homme,Bac +3,Technicien en Électrotechnique,"Industrie, Production & Maintenance",Génie Électrique,Electricité-Electricité Industrielle-Electromécanique-Electrotechnique,ElectroTechnicien,Non,non,ElectroTechnicien Technicien en Électrotechnique Génie Électrique Electricité-Electricité Industrielle-Electromécanique-Electrotechnique Emploi electrotechnicien Licence Professionnelle Bac +3
PPBOU2501110016712,33,assistant hse,"Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets",Stage,Master,Homme,Bac +4/+5 et plus,Assistant HSE,"Assurance Qualité, Contrôle, Testing (QHSE)",Génie des procédés industriels,Non déclaré,Assistant HSE,Non déclaré,non déclaré,Assistant HSE Assistant HSE Génie des procédés industriels Stage assistant hse Master Bac +4/+5 et plus
PPBOU2501140017103,34,logisticien,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Licence,Homme,Bac +3,Logisticien,"Transport, Logistique & Supply Chain",Logistique et Supply Chain Management,Non déclaré,Logisticien,Non déclaré,non déclaré,Logisticien Logisticien Logistique et Supply Chain Management Emploi logisticien Licence Bac +3
PPPOO2501130016908,32,manœuvre,Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client,Emploi,Brevet d'Études du Premier Cycle (BEPC),Homme,Secondaire 1,Manœuvre,"Bâtiment, Travaux Publics & Aménagement du Territoire",Aucune,Non déclaré,Manœuvre,Non déclaré,non déclaré,Manœuvre Manœuvre Aucune Emploi manœuvre Brevet d'Études du Premier Cycle (BEPC) Secondaire 1
PPPOO2501280018650,48,coiffeur,Artisanat,Emploi,Certificat d'Études Primaires Élémentaires (CEPE),Homme,Primaire,Coiffeur,Artisanat et Métiers d'Art,Aucune,Non déclaré,Coiffeur,Non déclaré,non déclaré,Coiffeur Coiffeur Aucune Emploi coiffeur Certificat d'Études Primaires Élémentaires (CEPE) Primaire
