job_id,titre,secteur,localisation,type_contrat,groupe_contrat,entreprise,type_entreprise,poste,date_publication,description,profil,competences,localisation_norm,text_profile
JOB250002292,Chef de salle,Hôtellerie - Restauration,BRAZZAVILLE,CDD,Emploi Temporaire,242 Tacos Street,,1.0,2025-09-23 00:00:00,,,,brazzaville,Chef de salle Hôtellerie - Restauration
JOB250002293,Agent Polyvalent,Hôtellerie - Restauration,BRAZZAVILLE,CDD,Emploi Temporaire,242 Tacos Street,,1.0,2025-09-23 00:00:00,,,,brazzaville,Agent Polyvalent Hôtellerie - Restauration
JOB250002294,Cuisinier,Hôtellerie - Restauration,BRAZZAVILLE,CDD,Emploi Temporaire,242 Tacos Street,,1.0,2025-09-23 00:00:00,,,,brazzaville,Cuisinier Hôtellerie - Restauration
JOB250002295,Manager,Hôtellerie - Restauration,BRAZZAVILLE,CDD,Emploi Temporaire,242 Tacos Street,,1.0,2025-09-23 00:00:00,,,,brazzaville,Manager Hôtellerie - Restauration
JOB250002297,CAISSIER,Hôtellerie - Restauration,BRAZZAVILLE,CDD,Emploi Temporaire,242 Tacos Street,,1.0,2025-09-23 00:00:00,,,,brazzaville,CAISSIER Hôtellerie - Restauration
JOB250002644,Responsable d'exploitation,"Pétrole, Gaz & Hydrocarbures",BRAZZAVILLE,CDD,Emploi Temporaire,3C Logistique,,1.0,2025-11-12 00:00:00,,,,brazzaville,"Responsable d'exploitation Pétrole, Gaz & Hydrocarbures"
JOB250002645,Chauffeur Semi-Remorque,"Transport, Logistique & Supply Chain",BRAZZAVILLE,CDD,Emploi Temporaire,3C Logistique,,1.0,2025-11-12 00:00:00,,,,brazzaville,"Chauffeur Semi-Remorque Transport, Logistique & Supply Chain"
JOB250002742,Comptable senior,"Finance, Banque, Assurance, Comptabilité & Fiscalité",BRAZZAVILLE,CDD,Emploi Temporaire,3C Logistique,,1.0,2025-11-26 00:00:00,,,,brazzaville,"Comptable senior Finance, Banque, Assurance, Comptabilité & Fiscalité"
JOB250002743,Comptable senior,"Finance, Banque, Assurance, Comptabilité & Fiscalité",BRAZZAVILLE,CDD,Emploi Temporaire,3C Logistique,,1.0,2025-11-27 00:00:00,,,,brazzaville,"Comptable senior Finance, Banque, Assurance, Comptabilité & Fiscalité"
JOB250002438,secrétaire bureautique,"Conseil, Stratégie & Gestion des Ressources Humaines",BRAZZAVILLE,CDD,Emploi Temporaire,ADIE SOLUTIONS,,1.0,2025-10-16 00:00:00,,,,brazzaville,"secrétaire bureautique Conseil, Stratégie & Gestion des Ressources Humaines"
JOB250002440,Gestionnaire,"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,ADIE SOLUTIONS,,1.0,2025-10-16 00:00:00,,,,brazzaville,"Gestionnaire Commerce, Vente, Marketing & Distribution"
JOB250002528,CAISSIER,"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,ADIE SOLUTIONS,,1.0,2025-10-28 00:00:00,,,,brazzaville,"CAISSIER Commerce, Vente, Marketing & Distribution"
JOB250002531,Gestionnaire,"Commerce, Vente, Marketing & Distribution",BRAZZAVILLE,CDD,Emploi Temporaire,ADIE SOLUTIONS,,1.0,2025-10-28 00:00:00,,,,brazzaville,"Gestionnaire Commerce, Vente, Marketing & Distribution"
JOB250002532,secrétaire bureautique,"Conseil, Stratégie & Gestion des Ressources Humaines",BRAZZAVILLE,CDD,Emploi Temporaire,ADIE SOLUTIONS,,1.0,2025-10-28 00:00:00,,,,brazzaville,"secrétaire bureautique Conseil, Stratégie & Gestion des Ressources Humaines"
